"ID","LastName","Title","FirstName","Organisation","Position","Suburb","State","Postcode","WorkPhone","EmailAddress","Industry"
173,"Rahib","Mr","Bennie","De La Rue Plc","Technical Specialist","Greenway","ACT",2900,"(06) 3114 8495","bseeniyar@delarueplc.com.au","Business Services & Supplies "
174,"Villaire","Mr","Cody","Humana","IS Program Manager","Paddington","NSW",2021,"(01) 9635 9678","cchapman@humana.com.au","Health Care Equipment & Services"
175,"Swenk","Mr","Jeffery","First Citizens Bcshs",,"Milton","QLD",4064,"(07) 6462 5084","jperez@firstcitizensbcshs.com.au","Banking "
176,"Zeidan","Mr","Justin","Salesforce.com","Customer Analysis & Reporting Manager","North Sydney","NSW",2060,"(05) 9262 2771","jgarlick@salesforce.com.com.au","Software & Services "
177,"Prati","Mr","Arnoldo","Land Securities Group","Business Systems Manager","Melbourne","VIC",3004,"(04) 5368 8635","ade vries@landsecuritiesgroup.com.au","Diversified Financials "
178,"Herreras","Mr","Justin","SunTrust Banks","Director, Departmental Management Information System Project","Woden","ACT",2606,"(04) 6239 9943","jmcmanus@suntrustbanks.com.au","Banking "
179,"Kerper","Mr","Marquis","Community Health Sys","Executive Manager","Sydney","NSW",1155,"(02) 7815 8829","mdeshpande@communityhealthsys.com.au","Health Care Equipment & Services"
180,"Kuttner","Mr","Tomas","Community Health Sys","Manager Development","Sydney","NSW",2000,"(04) 5255 8798","toey@communityhealthsys.com.au","Health Care Equipment & Services"
181,"Daniely","Mr","Tony","Community Health Sys","Project Manager","Sydney","NSW",2000,"(07) 6850 2528","thagger@communityhealthsys.com.au","Health Care Equipment & Services"
182,"Caperon","Mr","Alfonso","De La Rue Plc","Senior Technical Specialist / Team Leader","Greenway","ACT",2900,"(03) 2340 2308","abrown@delarueplc.com.au","Business Services & Supplies "
183,"Shriner","Mr","Santiago","Life Technologies","Project Manager","Sydney","NSW",2000,"(05) 8357 4312","shall-watson@lifetechnologies.com.au","Drugs & Biotechnology "
184,"Malehorn","Mr","Maxwell","Pepco Holdings",,"Nairne","SA",5252,"(04) 8710 3947","mturner@pepcoholdings.com.au","Utilities "
185,"Benziger","Mr","Jewel","Xilinx","Regional Manager ANZ, Data Management","St Leonards","NSW",2065,"(03) 6963 9299","jmckee@xilinx.com.au","Semiconductors "
186,"Orsini","Mr","Zachary","Varian Medical Systems","Systems Accountant","Ipswich","QLD",4305,"(07) 2667 8561","znugent@varianmedicalsystems.com.au","Health Care Equipment & Services"
187,"Mastel","Mr","Isaias","Varian Medical Systems","Finance & Assets Officer - CP&S","Ipswich","QLD",4305,"(08) 6268 3929","igillett@varianmedicalsystems.com.au","Health Care Equipment & Services"
188,"Blyzes","Mr","Alfonso","Rolls-Royce Group","OLAP Team Leader","Civic Square","ACT",2608,"(07) 1112 9058","acodd@rolls-roycegroup.com.au","Aerospace & Defense "
189,"Stockon","Mr","Milford","Varian Medical Systems","Budget Contol Accountant - Works","Ipswich","QLD",4305,"(07) 3115 6873","mguard@varianmedicalsystems.com.au","Health Care Equipment & Services"
190,"Penado","Mr","Greg","Rolls-Royce Group","Information Technology Officer","Civic Square","ACT",2608,"(06) 7247 2129","gphan@rolls-roycegroup.com.au","Aerospace & Defense "
191,"Siemers","Mr","Kermit","Freeport Copper","Portfolio Analyst","Sydney","NSW",2000,"(05) 5188 7868","ksritharan@freeportcopper.com.au","Materials "
192,"Winkenwerder","Mr","Zane","Freeport Copper","Strategy Analyst","Sydney","NSW",2000,"(06) 7787 9098","zsummers@freeportcopper.com.au","Materials "
193,"Morant","Mr","Zachary","Yahoo","Business Analyst","East Malvern","VIC",3145,"(07) 3934 7455","zmyall@yahoo.com.au","Software & Services "
194,"Fioravanti","Mr","Antony","Merck & Co","Commercial Service Analyst","Millers Point","NSW",2000,"(02) 7465 6165","ahansen@merckco.com.au","Drugs & Biotechnology "
195,"Sorman","Mr","Len","Merck & Co","Senior Business Analyst","Millers Point","NSW",2000,"(05) 1785 3129","lgomez@merckco.com.au","Drugs & Biotechnology "
196,"Shorey","Mr","Kelvin","Markel","Director","Birkdale","QLD",4159,"(04) 8969 4686","ktaylor@markel.com.au","Insurance "
197,"Sheerin","Mr","Hiram","Man Group","Project Manager","Sydney","NSW",2000,"(03) 8924 9844","hgoradia@mangroup.com.au","Diversified Financials "
198,"Carda","Mr","Joaquin","Man Group",,"Sydney","NSW",2000,"(05) 7513 9845","jayers@mangroup.com.au","Diversified Financials "
199,"Vanantwerp","Mr","Son","AGL Energy","SAP Administrator","Lane Cove","NSW",2066,"(05) 6047 2961","schoy@aglenergy.com.au","Utilities "
200,"Codde","Mr","Ervin","Kimberly-Clark","Acting Manager - Systems","Melbourne","VIC",3000,"(02) 3410 9097","edada@kimberly-clark.com.au","Household & Personal Products "
201,"Marasciulo","Mr","Maximo","El Paso","Business Intelligence Team Leader","North Ryde","NSW",2113,"(03) 8461 4285","mlee@elpaso.com.au","Oil & Gas Operations "
202,"Shambo","Mr","Jamar","Oracle","Senior Business Consultant","Melbourne","VIC",3004,"(01) 6040 2073","jjarman@oracle.com.au","Software & Services "
203,"Crookston","Mr","Mitchel","El Paso","Senior Business Intelligence Analyst","North Ryde","NSW",2113,"(08) 4817 4896","mdiaz@elpaso.com.au","Oil & Gas Operations "
204,"Cowboy","Mr","Zachary","United Technologies","Corporate IT Manager","Millers Point","NSW",2000,"(06) 6794 2362","zhackshall@unitedtechnologies.com.au","Conglomerates "
205,"Moulds","Mr","Foster","RR Donnelley & Sons","Business Analyst","Potts Point","NSW",2011,"(02) 2719 3037","fparanur@rrdonnelleysons.com.au","Media "
206,"Vendrick","Mr","Burl","United Parcel Service","Group Business Analyst","Sydney Markets","NSW",2129,"(04) 6833 2006","bsowden@unitedparcelservice.com.au","Transportation "
207,"Amsinger","Mr","Zachary","Eli Lilly & Co","Technology Analyst","North Ryde","NSW",2113,"(07) 9508 9819","znorman@elilillyco.com.au","Drugs & Biotechnology "
208,"Dumez","Mr","Jamison","FirstGroup","Product Specialist","North Sydney","NSW",2060,"(07) 6113 7333","jbonett@firstgroup.com.au","Transportation "
209,"Younes","Mr","Justin","FirstGroup","Business Development Manager","North Sydney","NSW",2060,"(07) 1776 3380","jjohnston@firstgroup.com.au","Transportation "
210,"Sheeley","Mr","Randy","Community Health Sys","Manager Finance & Modelling","Sydney","NSW",2000,"(01) 3201 5679","rrenton@communityhealthsys.com.au","Health Care Equipment & Services"
211,"Parkhurst","Mr","Abraham","Wisconsin Energy",,"Sydney","NSW",2099,"(08) 5645 4141","adale@wisconsinenergy.com.au","Utilities "
212,"Woerner","Mr","Everett","Wisconsin Energy",,"Sydney","NSW",2000,"(03) 5957 9071","edunn@wisconsinenergy.com.au","Utilities "
213,"Baria","Mr","Santiago","Cablevision","Director","Aldgate","SA",5154,"(04) 5368 3888","share@cablevision.com.au","Media "
214,"Balasa","Mr","Caleb","Air Prods & Chems","Finance Director",,,,"(07) 2234 9572","cscott@airprodschems.com.au","Chemicals "
215,"Himel","Mr","Alphonse","Xilinx",,"St Leonards","NSW",2065,"(08) 4154 2292","awalsh@xilinx.com.au","Semiconductors "
216,"Jenny","Mr","Chase","Xilinx",,"St Leonards","NSW",2065,"(02) 8094 8014","cwilde@xilinx.com.au","Semiconductors "
217,"Harrellson","Mr","Antony","Varian Medical Systems",,"Ipswich","QLD",4305,"(03) 6721 7523","astokes@varianmedicalsystems.com.au","Health Care Equipment & Services"
218,"Coplin","Ms","Jeanette","Comerica","Information Delivery Manager Asia Pacific","Glebe","NSW",2037,"(02) 5191 3636","jnoades@comerica.com.au","Banking "
219,"Marin","Ms","Bridgett","NYSE Euronext","Systems Analyst","Adelaide","SA",5001,"(08) 3507 4302","bmahoney@nyseeuronext.com.au","Diversified Financials "
220,"Younes","Miss","Berta","Vedanta Resources","Senior Project Officer","Spring Hill","QLD",4001,"(02) 3674 6392","bjohnston@vedantaresources.com.au","Materials "
221,"Anzideo","Mrs","Demetria","De La Rue Plc","Senior Business Analyst","Tuggeranong","ACT",2900,"(06) 2938 2038","djones@delarueplc.com.au","Business Services & Supplies "
222,"Stretch","Miss","Shyla","De La Rue Plc","System Administrator","Tuggeranong","ACT",2904,"(01) 5378 6885","sprothero@delarueplc.com.au","Business Services & Supplies "
223,"Trieu","Mrs","Deloris","Discovery Communications","Business Analyst","Newcastle","NSW",2300,"(08) 8780 2253","dstockham@discoverycommunications.com.au","Media "
224,"Fratto","Miss","Sherita","Discovery Communications","Systems Analyst","Newcastle","NSW",2300,"(03) 7078 3376","sclose@discoverycommunications.com.au","Media "
225,"Milcher","Mrs","Jenni","Sara Lee","Sales & Marketing Manager","Sydney","NSW",2000,"(02) 6628 6420","jkelsall@saralee.com.au","Food, Drink & Tobacco "
226,"Lagadinos","Ms","Melissa","WR Berkley",,"Canberra","ACT",2601,"(03) 8104 4514","mparrott@wrberkley.com.au","Insurance "
227,"Siguenza","Ms","Mercy","Brambles","Cognos Team Leader","North Sydney","NSW",2060,"(02) 1587 1236","myee@brambles.com.au","Business Services & Supplies "
228,"Ashbourne","Ms","Tabitha","Nelnet","Systems Accountant","Brisbane","QLD",4001,"(07) 3778 5316","tkenniff@nelnet.com.au","Diversified Financials "
229,"Maestri","Ms","Lurlene","Autonomy","Senior Project Officer","Adelaide","SA",5000,"(02) 3302 7713","lbrowne@autonomy.com.au","Software & Services "
230,"Zets","Dr","Georgie","De La Rue Plc","A/g Manager","Tuggeranong","ACT",2900,"(04) 5095 1388","gcue@delarueplc.com.au","Business Services & Supplies "
231,"Habermehl","Ms","Gwenda","Discovery Communications","Business Intelligence Developer","Mayfield","NSW",2304,"(01) 2569 3216","ghurst@discoverycommunications.com.au","Media "
232,"Ciraulo","Mrs","Nicolette","Sunoco","Senior Development Analyst","Bassendean","WA",6054,"(02) 3072 7483","nleon@sunoco.com.au","Oil & Gas Operations "
233,"Kipling","Mrs","Estefana","Visa","Manager Strategic Analysis Branch","Lisarow","NSW",2252,"(07) 2647 6263","edias@visa.com.au","Diversified Financials "
234,"Hatke","Ms","Shelly","Kingfisher",,"Canberra","ACT",2600,"(08) 5000 3342","syannopoulos@kingfisher.com.au","Retailing "
235,"Aronhalt","Ms","Kenyatta","Ford Motor","Information Delivery Manager","Roseville","NSW",2069,"(02) 6925 8860","kshanthikumar@fordmotor.com.au","Consumer Durables "
236,"Aperges","Mrs","Sharie","CareFusion","Analyst Programmer","Parkville","VIC",3052,"(07) 1142 6964","sravindran@carefusion.com.au","Health Care Equipment & Services"
237,"Cubit","Mrs","Alice","Helmerich & Payne",,"Tuggeranong","ACT",2900,"(02) 2263 7440","ahooper@helmerichpayne.com.au","Oil & Gas Operations "
238,"Meinberg","Ms","Jamila","Virgin Media","BI Consultant","Perth","WA",6000,"(02) 9796 1218","jyardley@virginmedia.com.au","Media "
239,"Piecuch","Ms","Henrietta","Foster's Group","Head Of Solutions","Sydney","NSW",2000,"(06) 2076 3410","hjoulianos@foster'sgroup.com.au","Food, Drink & Tobacco "
240,"Fireman","Ms","Lurlene","SLM","Project Accountant","Kwinana","WA",6167,"(04) 6437 7394","lbeus@slm.com.au","Diversified Financials "
241,"Cutaia","Ms","Carley","Wells Fargo","Regional Business Analyst","Wentworthville","NSW",2145,"(04) 7191 8852","ctheos@wellsfargo.com.au","Banking "
242,"Bendana","Mrs","Karena","Boston Properties","Senior Management Accountant","North Ryde","NSW",2113,"(06) 8873 1925","kchin@bostonproperties.com.au","Diversified Financials "
243,"Granquist","Mrs","Marleen","PG&E","Mgr Financial Planning","Brisbane","QLD",4000,"(04) 7439 3462","mcooper@pge.com.au","Utilities "
244,"Shupert","Mrs","Charis","Merck & Co","IT Manager","Sydney","NSW",2000,"(08) 7148 7351","cvan oorschot@merckco.com.au","Drugs & Biotechnology "
245,"Unrein","Ms","Enriqueta","Ross Stores","Information & Business Analyst","Tooronga","VIC",3146,"(02) 9122 4277","eburton@rossstores.com.au","Retailing "
246,"Laverette","Mrs","Emelia","AstraZeneca","National Marketing Manager","Rosebery","NSW",2018,"(01) 7516 4308","elaing@astrazeneca.com.au","Drugs & Biotechnology "
247,"Shackett","Ms","Ann","Progressive","Project Accountant","Hobart","TAS",7001,"(07) 9315 5460","awakefield@progressive.com.au","Insurance "
248,"Kietzer","Mrs","Rheba","Progressive","Systems Accountant","Hobart","TAS",7001,"(04) 2349 5256","rwherrett@progressive.com.au","Insurance "
249,"Laneaux","Ms","Shemika","Vornado Realty","Information Manager","Sydney","NSW",2040,"(05) 8478 6222","sirrgang@vornadorealty.com.au","Diversified Financials "
250,"Prodoehl","Ms","Ernestina","Pride International","Data Manager","Sydney","NSW",2001,"(07) 3432 2660","egock@prideinternational.com.au","Oil & Gas Operations "
251,"Dasen","Ms","Leonila","Scripps Networks",,"Lane Cove","NSW",2066,"(04) 7551 8741","ljaques@scrippsnetworks.com.au","Media "
252,"Thaemert","Ms","Stephaine","EI du Pont de Nemours","BI Analyst","Wollongong","NSW",2522,"(03) 4887 7614","sstienstra@eidupontdenemours.com.au","Chemicals "
253,"Emperor","Mrs","Concepcion","DSG International",,"Brisbane","QLD",4001,"(04) 8595 5054","cpeck@dsginternational.com.au","Retailing "
254,"Blancett","Ms","Kiesha","Health Net",,"Brisbane","QLD",4001,"(06) 8566 2202","kthomson@healthnet.com.au","Health Care Equipment & Services"
255,"Ve","Ms","Mirna","Intuitive Surgical","Program Manager","North Sydney","NSW",2061,"(04) 1879 1325","mereve@intuitivesurgical.com.au","Health Care Equipment & Services"
256,"Pithan","Ms","Kesha","Intuitive Surgical","Manager Mobile DB Operations","North Sydney","NSW",2061,"(07) 2942 7731","kroberts@intuitivesurgical.com.au","Health Care Equipment & Services"
257,"Holtzman","Ms","Maire","Boston Scientific","Airport Systems And Project Officer","Cairns","QLD",4870,"(01) 9858 7046","mmohan@bostonscientific.com.au","Health Care Equipment & Services"
258,"Raisin","Mrs","Freida","Scripps Networks",,"Maroubra","NSW",2035,"(05) 5327 8285","fcampbell@scrippsnetworks.com.au","Media "
259,"Amsinger","Ms","Laveta","Rolls-Royce Group","Business Analyst","Parramatta","NSW",2150,"(01) 9792 6763","lnorman@rolls-roycegroup.com.au","Aerospace & Defense "
260,"Elicker","Ms","Zelma","Rolls-Royce Group","Business Analyst","Melbourne","VIC",3000,"(06) 7667 9084","zbrowning@rolls-roycegroup.com.au","Aerospace & Defense "
261,"Woolard","Miss","Deann","StanCorp Financial","Senior Consultant","Melbourne","VIC",3000,"(07) 2937 6636","dshort@stancorpfinancial.com.au","Insurance "
262,"Buerge","Ms","Earleen","De La Rue Plc","Senior Technical Specialist","Greenway","ACT",2900,"(06) 5949 1523","erobin@delarueplc.com.au","Business Services & Supplies "
263,"Aspinwall","Ms","Krishna","RRI Energy",,,,,"(04) 9775 9007","kbridges@rrienergy.com.au","Utilities "
264,"Doolan","Miss","Carley","MGM Mirage",,"Melbourne","VIC",3000,"(07) 7064 7573","chenderson@mgmmirage.com.au","Hotels, Restaurants & Leisure "
265,"Grap","Ms","Neely","Community Health Sys","Manager BI Customer Services & Support","Sydney","NSW",2000,"(08) 1704 8342","npaiyo@communityhealthsys.com.au","Health Care Equipment & Services"
266,"Vandel","Ms","Bernadette","De La Rue Plc","Manager - IBIS Facility","Greenway","ACT",2900,"(08) 8400 1285","bsmith@delarueplc.com.au","Business Services & Supplies "
267,"Demuro","Ms","Neely","Community Health Sys","Officer","Sydney","NSW",223,"(06) 9404 1144","nrobb@communityhealthsys.com.au","Health Care Equipment & Services"
268,"Birkes","Ms","Yoshiko","First American",,"Melbourne","VIC",3004,"(04) 5869 5360","ymccann@firstamerican.com.au","Insurance "
269,"Pfalzgraf","Ms","Evita","Varian Medical Systems","Management Accountant","Ipswich","QLD",4305,"(02) 6480 5153","ewhite@varianmedicalsystems.com.au","Health Care Equipment & Services"
270,"Cavicchia","Mrs","Christy","Markel","Senior Consultant","Birkdale","QLD",4159,"(07) 3313 2821","chewa@markel.com.au","Insurance "
271,"Grieser","Ms","Cira","Man Group",,"Sydney","NSW",2000,"(07) 1697 4648","cdart@mangroup.com.au","Diversified Financials "
272,"Braner","Ms","Rolanda","United Technologies","Systems Analyst","Millers Point","NSW",2000,"(03) 7710 9486","rraman@unitedtechnologies.com.au","Conglomerates "
273,"Yacoub","Mrs","Lurlene","Cephalon","MIS Manager","Sydney","NSW",2000,"(04) 2449 9262","lchalkias@cephalon.com.au","Drugs & Biotechnology "
274,"Lerew","Miss","Dimple","Eli Lilly & Co","Business Intelligence Analyst","North Ryde","NSW",2113,"(03) 1132 6326","dhowes@elilillyco.com.au","Drugs & Biotechnology "
275,"Freeberg","Ms","Latasha","Varian Medical Systems",,"Ipswich","QLD",4305,"(01) 9796 6919","lrhodes@varianmedicalsystems.com.au","Health Care Equipment & Services"
